Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
14400,2,3,2,30,-2,0,132,-2,0,0,-2,0,0,-2,0,0,-2,45,0,-2,136,45,0
8100,1,1,2,29,-1,133,7,-1,1700,132,-1,0,1541,-1,751,-4,-1,498,747,-1,381,496,0
8300,2,2,2,33,0,200,1850,0,200,2019,0,200,2161,0,180,2324,0,200,2465,0,200,2623,0
6400,1,1,2,30,-1,0,129,-1,150,-21,-1,0,120,0,0,29,0,36,0,-1,0,36,0
8000,2,2,2,28,0,120,2478,0,120,2533,0,120,2588,0,100,2641,0,105,2673,0,108,2736,0
3300,2,1,2,30,0,78,1469,0,147,1523,0,52,1632,2,0,1430,2,60,1307,0,48,1304,0
16800,1,1,2,35,0,602,16523,0,643,16561,0,506,16683,0,2028,13934,0,801,11486,0,405,10449,0
6400,1,1,2,29,-1,0,22,-1,28,-3,-1,0,25,-1,26,0,-1,0,13,0,0,13,0
11600,2,1,2,28,-1,435,1285,-1,211,433,-2,1303,210,-1,1166,1292,-1,72,1140,-1,455,72,0
5900,1,2,2,26,0,240,5380,0,280,5524,0,88,3570,0,1940,1987,0,144,3881,0,140,3969,0
15600,2,1,2,32,0,121,306,0,80,340,0,260,164,0,80,334,0,40,304,0,40,321,0
2500,1,1,2,28,0,166,615,-1,777,165,0,40,778,0,40,716,0,40,739,0,40,754,0
1900,2,1,2,28,1,60,1752,2,52,1767,0,96,171,0,88,200,0,0,229,0,131,59,0
1900,2,2,2,31,0,90,1966,0,76,1989,0,72,1977,0,28,1607,0,40,767,0,40,642,1
3300,1,1,2,26,0,84,2689,0,240,991,0,8,800,0,0,800,0,0,800,0,0,0,0
2000,1,3,2,60,0,72,1854,0,80,1896,0,60,1945,0,40,1966,0,48,1108,0,44,1102,0
1500,2,1,2,29,0,200,1237,0,61,1047,0,400,1090,0,400,1176,0,600,786,0,34,928,0
800,1,2,2,47,0,76,584,0,40,650,2,40,667,0,40,696,0,75,725,0,40,787,0
14900,1,1,2,32,0,200,1424,0,120,1593,0,200,1663,0,200,1767,0,320,1914,0,400,2174,0
4800,2,2,2,28,2,212,4474,2,144,4570,2,0,4612,2,136,4496,0,140,4571,0,180,4653,1
10100,2,2,2,23,-1,54,38,-1,105,54,-1,0,105,0,0,73,0,46,39,-1,69,46,1
2700,1,1,2,44,1,3,2958,2,120,2884,0,186,1858,0,40,1870,0,40,851,0,0,575,0
2500,1,1,2,33,0,120,2317,0,120,1990,0,0,2056,0,0,0,-2,0,0,-2,0,0,0
16000,1,1,2,35,-1,521,15,-1,52,508,-1,0,52,-1,0,0,-2,122,0,-1,151,122,0
4100,2,2,2,41,-1,0,63,-1,0,-1,-2,0,-1,-2,114,-1,-1,85,113,-1,0,85,0
2700,1,3,2,36,0,107,2735,0,103,2796,0,63,2799,0,39,2285,0,40,1100,0,80,1087,1
2000,2,2,2,34,0,160,500,0,80,651,0,40,717,0,80,643,0,96,682,0,40,761,0
700,2,2,2,27,0,58,718,0,40,752,0,6,774,0,4,320,0,0,196,0,0,0,0
2800,2,2,2,35,0,116,2488,0,95,2563,0,179,2592,0,0,2666,2,73,2028,0,74,2032,0
3100,2,1,2,28,0,68,1140,0,60,1061,0,68,929,0,40,926,0,40,886,0,40,859,0
4100,2,2,2,31,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
16700,2,1,2,39,-1,610,887,-1,541,610,-1,3234,541,-1,31,3233,0,34,1573,0,3014,1073,0
9900,1,1,2,27,0,100,2051,0,100,2102,0,80,2151,0,80,2180,0,120,2227,0,164,2319,0
5900,2,1,2,26,-1,190,292,-1,77,190,-1,326,77,-1,119,326,-1,346,119,-1,0,346,0
9100,2,2,2,32,0,0,1916,0,0,0,-2,50,0,-1,3206,50,-1,124,3206,0,114,3271,0
10800,2,1,2,25,1,0,0,-2,253,0,-1,0,253,-1,0,0,-2,0,0,-2,0,0,0
3100,1,2,2,29,1,0,2143,2,240,2085,2,88,2266,2,0,2294,2,140,2233,2,140,2330,1
1100,1,2,2,29,0,74,1200,0,40,1196,0,68,1142,0,994,-9,-1,140,957,0,120,1066,0
4400,2,2,2,27,0,160,3258,0,160,3330,0,136,3398,0,136,3442,0,280,3522,0,138,3736,0
12000,1,2,2,30,-1,3143,3451,-1,1936,3127,-1,542,1927,-1,206,538,-1,228,205,-1,541,227,0
11900,1,1,2,29,-1,0,175,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
10500,1,2,2,32,0,0,2423,0,0,-3,-2,22,-3,-1,182,18,-1,6640,-318,-1,240,6264,0
11300,2,1,2,34,-1,283,165,-1,522,280,-1,0,519,-1,57,0,-1,226,56,-1,242,226,0
8800,1,1,2,38,0,52,1374,0,80,1403,0,80,1294,0,1200,1263,0,120,2051,0,80,2144,0
11700,1,2,2,27,0,129,3954,0,124,3586,0,6402,2018,0,198,7747,0,208,7523,0,183,6484,0
7500,1,2,2,28,0,297,6210,0,276,5447,0,204,5561,0,400,5601,0,220,5855,0,268,5958,0
15700,2,1,2,29,0,172,3445,0,137,3565,0,134,3612,0,139,3690,0,200,3767,0,400,3902,0
500,1,1,2,23,-1,0,31,2,16,16,-1,0,16,-1,31,0,-1,0,31,-1,0,0,1
3200,2,1,2,28,0,0,172,0,0,0,-2,115,0,-1,74,115,-1,40,74,0,80,114,0
3200,2,1,2,26,0,120,1527,0,80,1622,2,40,1663,2,100,1664,2,40,1731,2,80,1736,1
800,2,1,2,21,-1,11,308,-1,56,11,-1,422,56,-1,0,422,0,384,380,-1,20,384,1
2100,1,2,2,28,2,0,1723,2,64,1677,0,68,1536,0,41,1226,0,100,1239,0,0,1220,1
