Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
8100,1,1,2,29,-1,133,7,-1,1700,132,-1,0,1541,-1,751,-4,-1,498,747,-1,381,496,0
6400,1,1,2,30,-1,0,129,-1,150,-21,-1,0,120,0,0,29,0,36,0,-1,0,36,0
3300,2,1,2,30,0,78,1469,0,147,1523,0,52,1632,2,0,1430,2,60,1307,0,48,1304,0
9500,2,1,1,39,2,0,100,2,0,100,2,0,100,2,0,0,-2,0,0,-2,0,0,1
16800,1,1,2,35,0,602,16523,0,643,16561,0,506,16683,0,2028,13934,0,801,11486,0,405,10449,0
6400,1,1,2,29,-1,0,22,-1,28,-3,-1,0,25,-1,26,0,-1,0,13,0,0,13,0
11600,2,1,2,28,-1,435,1285,-1,211,433,-2,1303,210,-1,1166,1292,-1,72,1140,-1,455,72,0
15600,2,1,2,32,0,121,306,0,80,340,0,260,164,0,80,334,0,40,304,0,40,321,0
2500,1,1,2,28,0,166,615,-1,777,165,0,40,778,0,40,716,0,40,739,0,40,754,0
11300,2,1,1,38,-1,40,312,0,17,234,-1,82,17,-1,31,82,-1,23,31,-1,41,23,1
1900,2,1,2,28,1,60,1752,2,52,1767,0,96,171,0,88,200,0,0,229,0,131,59,0
19900,1,1,1,57,-2,200,548,-2,1247,200,-2,127,1245,-2,0,127,-2,212,0,-2,31,212,0
3300,1,1,2,26,0,84,2689,0,240,991,0,8,800,0,0,800,0,0,800,0,0,0,0
10700,1,1,1,38,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
1500,2,1,2,29,0,200,1237,0,61,1047,0,400,1090,0,400,1176,0,600,786,0,34,928,0
14900,1,1,2,32,0,200,1424,0,120,1593,0,200,1663,0,200,1767,0,320,1914,0,400,2174,0
2700,1,1,2,44,1,3,2958,2,120,2884,0,186,1858,0,40,1870,0,40,851,0,0,575,0
2500,1,1,2,33,0,120,2317,0,120,1990,0,0,2056,0,0,0,-2,0,0,-2,0,0,0
16000,1,1,2,35,-1,521,15,-1,52,508,-1,0,52,-1,0,0,-2,122,0,-1,151,122,0
7200,1,1,1,35,0,145,3428,0,96,3372,0,940,2488,0,152,3274,0,148,3143,0,20,3100,0
11100,2,1,1,37,0,161,3908,0,172,3588,0,166,3472,0,116,3513,0,100,3531,0,104,3587,0
3100,2,1,2,28,0,68,1140,0,60,1061,0,68,929,0,40,926,0,40,886,0,40,859,0
16700,2,1,2,39,-1,610,887,-1,541,610,-1,3234,541,-1,31,3233,0,34,1573,0,3014,1073,0
9200,2,1,1,44,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,5,0,-2,49,5,0
9900,1,1,2,27,0,100,2051,0,100,2102,0,80,2151,0,80,2180,0,120,2227,0,164,2319,0
5900,2,1,2,26,-1,190,292,-1,77,190,-1,326,77,-1,119,326,-1,346,119,-1,0,346,0
10800,2,1,2,25,1,0,0,-2,253,0,-1,0,253,-1,0,0,-2,0,0,-2,0,0,0
6500,2,1,1,42,-1,318,976,-1,43,318,-1,0,43,-1,1604,0,-1,756,1604,-1,167,756,0
11900,1,1,2,29,-1,0,175,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
11300,2,1,2,34,-1,283,165,-1,522,280,-1,0,519,-1,57,0,-1,226,56,-1,242,226,0
8800,1,1,2,38,0,52,1374,0,80,1403,0,80,1294,0,1200,1263,0,120,2051,0,80,2144,0
15700,2,1,2,29,0,172,3445,0,137,3565,0,134,3612,0,139,3690,0,200,3767,0,400,3902,0
500,1,1,2,23,-1,0,31,2,16,16,-1,0,16,-1,31,0,-1,0,31,-1,0,0,1
9600,1,1,1,58,2,280,7377,0,247,7543,0,240,7680,0,238,7415,0,211,7183,0,7702,3712,1
3200,2,1,2,28,0,0,172,0,0,0,-2,115,0,-1,74,115,-1,40,74,0,80,114,0
3200,2,1,2,26,0,120,1527,0,80,1622,2,40,1663,2,100,1664,2,40,1731,2,80,1736,1
800,2,1,2,21,-1,11,308,-1,56,11,-1,422,56,-1,0,422,0,384,380,-1,20,384,1
1900,2,1,1,23,-1,120,234,0,108,349,0,317,400,0,0,717,0,6,272,-1,8,6,0
13600,2,1,2,25,1,105,688,2,54,770,2,21,800,2,1,789,2,9,762,0,56,469,0
20000,2,1,1,33,-1,395,86,-1,163,395,-1,120,162,-1,120,120,-1,323,120,-1,240,323,0
4000,2,1,2,26,1,80,0,-1,36,40,-1,32,36,-1,0,28,-1,92,-12,-1,74,40,0
1900,1,1,2,64,0,55,1854,0,47,802,0,21,749,0,40,714,0,19,584,0,17,453,0
12100,2,1,2,32,1,0,0,-2,494,0,-1,0,494,0,210,257,-1,280,210,-1,0,483,0
3100,2,1,2,22,0,64,351,0,0,191,0,0,0,-2,0,0,-2,0,0,-2,0,0,0
5700,1,1,1,57,2,0,4346,2,439,4220,2,152,4527,2,190,4545,2,77,4656,3,333,4633,1
14400,2,1,2,33,0,245,6689,0,292,6674,0,245,5996,0,180,5524,0,187,5525,0,162,5613,0
11300,1,1,2,33,-1,0,86,-1,0,0,-2,233,0,-1,117,233,-1,1694,116,-1,97,1685,1
8000,2,1,2,27,1,336,2232,-1,197,334,-1,204,196,-1,782,203,-1,0,779,-1,5,0,0
19900,2,1,2,29,2,240,3942,0,526,4082,0,0,4468,2,120,3123,0,200,3135,0,400,3236,1
3300,1,1,2,33,-2,520,10064,-1,0,10584,2,48,175,0,20,220,0,40,236,0,40,272,0
12100,2,1,2,37,1,0,414,3,0,388,2,0,151,0,0,77,0,94,13,-1,0,94,0
7900,1,1,1,30,3,0,100,2,0,100,2,0,100,2,0,100,2,0,100,2,0,100,1
7200,2,1,2,32,-2,9,440,-2,62,9,-2,0,62,-2,0,0,-2,0,0,-2,0,0,0
2700,2,1,2,27,0,200,1713,0,800,1882,0,400,2508,0,240,1158,0,200,654,0,320,847,0
14400,1,1,2,33,0,320,3270,0,402,3279,0,400,3609,0,402,3456,0,402,3787,0,360,3731,0
8400,2,1,2,32,0,43,587,0,157,49,0,69,162,0,0,75,2,10,53,-1,434,10,1
900,1,1,2,25,-1,181,152,-1,327,179,-1,317,327,-1,122,316,-1,65,118,-1,152,49,0
8300,2,1,2,32,-2,112,56,-2,56,112,-2,0,56,-2,1084,56,-1,62,1084,0,3000,1026,0
