Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
14400,2,3,2,30,-2,0,132,-2,0,0,-2,0,0,-2,0,0,-2,45,0,-2,136,45,0
2700,2,2,1,31,0,104,2891,0,140,2864,0,120,2898,0,40,2842,0,60,1187,0,19,1153,0
14500,2,2,1,37,-2,309,403,-2,94,309,-2,381,94,-2,362,381,-2,0,362,-2,116,0,0
1300,2,2,3,18,4,120,1055,1,23,286,9,110,1288,6,274,816,-1,0,4,11,147,770,0
8300,2,2,2,33,0,200,1850,0,200,2019,0,200,2161,0,180,2324,0,200,2465,0,200,2623,0
3600,2,2,1,38,0,140,3699,0,133,3628,0,84,3229,0,102,2792,0,120,2555,0,3730,1605,1
8000,2,2,2,28,0,120,2478,0,120,2533,0,120,2588,0,100,2641,0,105,2673,0,108,2736,0
3300,2,1,2,30,0,78,1469,0,147,1523,0,52,1632,2,0,1430,2,60,1307,0,48,1304,0
9500,2,1,1,39,2,0,100,2,0,100,2,0,100,2,0,0,-2,0,0,-2,0,0,1
11600,2,1,2,28,-1,435,1285,-1,211,433,-2,1303,210,-1,1166,1292,-1,72,1140,-1,455,72,0
17200,2,2,1,30,-2,0,-612,-2,5830,-1334,-1,0,3830,2,100,3115,0,81,2507,0,80,1951,0
2100,2,3,1,23,2,81,1992,0,82,2026,0,81,1671,0,41,683,0,56,376,-1,760,42,1
2300,2,2,1,49,2,112,2408,0,104,2430,0,84,2434,0,40,2356,0,40,774,0,28,781,1
15600,2,1,2,32,0,121,306,0,80,340,0,260,164,0,80,334,0,40,304,0,40,321,0
11300,2,1,1,38,-1,40,312,0,17,234,-1,82,17,-1,31,82,-1,23,31,-1,41,23,1
1900,2,1,2,28,1,60,1752,2,52,1767,0,96,171,0,88,200,0,0,229,0,131,59,0
7900,2,3,1,41,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,20,0,0
1900,2,2,2,31,0,90,1966,0,76,1989,0,72,1977,0,28,1607,0,40,767,0,40,642,1
1500,2,1,2,29,0,200,1237,0,61,1047,0,400,1090,0,400,1176,0,600,786,0,34,928,0
3300,2,2,1,39,2,156,3144,2,160,3227,2,0,3309,2,77,3234,0,72,1983,0,72,1934,1
3900,2,2,1,24,0,80,830,0,80,802,0,240,791,0,160,998,0,160,1146,0,120,335,0
